Företagsnamn	Typ	Finansiär	Belopp	Mottaget datum	Anteckning
Hydrogen Lift Sweden AB	Innovationscheck	Vinnova Innovationscheck via SISP	471000	2024-12-12	Infrastrukturcheck beviljad 2024-12-12 471 000kr inkl moms via Rise - klart maj 2024 senast
Enava AB	De minimis	Vinnova Excellensmedel	16000	2024-12-09	Videa film
Agroclimate Sweden AB	Excellensmedel	Vinnova Excellensmedel	25000	2024-11-30	Barzey Law - NDA
Revolvision AB	Innovationscheck	Annan (ange vilken)	252575	2024-11-22	Investeringsstöd från Region Gävleborg 2022-2024, innan intag i inkubatorn.
Happymaker AB	Ägarkapital	Annan (ange vilken)	580000	2024-11-13	Oklart datum
Enava AB	De minimis	Vinnova Excellensmedel	5610	2024-10-31	Barzey law tidigare fakturerat 15 640kr slutfakturerat
Konstraktor i Gävle AB	Excellensmedel	Vinnova Excellensmedel	20000	2024-09-30	affärscoachning Andreas september (origami makers)
Invite To Do AB	Excellensmedel	Vinnova Excellensmedel	1700	2024-09-30	Delfaktura Barzey law - upphandlingsjuridik - tot bev 10 000kr
Dirty Peach Design AB	Excellensmedel	Vinnova Excellensmedel	40000	2024-09-30	Delfakturerat Barzey law - tot bev 100 000kr - fakturerat 90 000kr
Affärskompetens Sverige AB	Excellensmedel	Vinnova Excellensmedel	20000	2024-09-30	affärscoachning september - Andreas (origami makers)
Happymaker AB	Excellensmedel	Vinnova Excellensmedel	20000	2024-09-30	affärscoachning september Andreas (origami makers)
Enava AB	Lån	ALMI	200000	2024-09-30	Almi + nya lånet
EduFuture Europe AB	Excellensmedel	Vinnova Excellensmedel	20060	2024-09-30	Barzey law - beviljat 50 000kr delfakturerat affärsjuridik
Konstraktor i Gävle AB	Lån	ALMI	200000	2024-09-30	Almi + nya lånet
Enava AB	De minimis	Vinnova Excellensmedel	25000	2024-09-30	Affärsjuridiskt stöd tvist - Barzey law
Enava AB	De minimis	Vinnova Excellensmedel	12500	2024-09-12	Delfaktura Lindahls - tot beviljat 100 000kr 15 500+12500 fakturerat
PepperVault AB	Excellensmedel	Vinnova Excellensmedel	39100	2024-09-12	Lindahls slutfaktura affärsjuridik
Affärskompetens Sverige AB	Excellensmedel	Vinnova Excellensmedel	15000	2024-08-31	Affärscoachning augusti Andreas ( origami makers)
Polletten AB	Excellensmedel	Vinnova Excellensmedel	7500	2024-08-31	Affärscoachning Andreas augusti (origami makers)
PepperVault AB	Excellensmedel	Vinnova Excellensmedel	45000	2024-08-31	Säljstrategi Human kommunikation beviljat 89 000kr delfakturerat
Konstraktor i Gävle AB	Excellensmedel	Vinnova Excellensmedel	15000	2024-08-31	Affärscoachning Andreas augusti (origami makers)
Dirty Peach Design AB	Excellensmedel	Vinnova Excellensmedel	50000	2024-08-31	Barzey law affärsjuridik - beviljat stöd 100 000kr - delfakturerad
Fredrik Nurms	Excellensmedel	Vinnova Excellensmedel	7500	2024-08-31	affärscoachning Augusti Andreas (origami makers)
Enava AB	De minimis	Vinnova Excellensmedel	15640	2024-08-31	Barzey law affärsjuridik
Happymaker AB	Excellensmedel	Vinnova Excellensmedel	15000	2024-08-31	affärscoachning Andreas Augusti (origami makers)
Sin Fin Concrete i Scandiavien AB	Excellensmedel	Vinnova Excellensmedel	9400	2024-08-31	Delfaktura Barzey affärsjuridik - 16330+9400=25 730 av 40 000kr
EduFuture Europe AB	Bidrag	ALMI	50000	2024-08-30	Verifieringspeng
Actsport AB	Excellensmedel	Vinnova Excellensmedel	75240	2024-07-31	Slutfaktura Barzey Law - beviljat 75000kr
Enava AB	Excellensmedel	Vinnova Excellensmedel	25000	2024-07-31	Beviljat stöd affärsjuridik tot 120 000kr - delfaktura
PepperVault AB	Excellensmedel	Vinnova Excellensmedel	1970	2024-07-31	Slutfaktura Barzey law
Sin Fin Concrete i Scandiavien AB	Excellensmedel	Vinnova Excellensmedel	2470	2024-07-01	Delfaktura Barzey law affärsjuridiskt stöd
Affärskompetens Sverige AB	Excellensmedel	Vinnova Excellensmedel	1280	2024-07-01	Delfaktura Barzey law - beviljat 40 000kr
Happymaker AB	De minimis	Sprint X TVV De minimis	2736	2024-06-30	Insatser och nedlagd tid Sprint x 2 jan-juni 2024
ProTime Sport AB	De minimis	Sprint X TVV De minimis	23010	2024-06-30	Insatser och tid nedlagd av personal jan-juni 2024 Sprint X 2.0
Affärskompetens Sverige AB	Excellensmedel	Vinnova Excellensmedel	15000	2024-06-30	Affärscoachning Andreas juni (Origami makers)
Solask Energi AB	De minimis	Sprint X TVV De minimis	40906	2024-06-30	Insatser och tid nedlagd av personal jan-juni 2024 Sprint X 2.0
Erlig AB	De minimis	Sprint X TVV De minimis	7499	2024-06-30	Insatser och nedlagd tid Sprint x 2 jan-juni 2024
Dirty Peach Design AB	De minimis	Sprint X TVV De minimis	17887	2024-06-30	Insatser och nedlagd tid Sprint x 2 jan-juni 2024
NESP Sweden AB	De minimis	Sprint X TVV De minimis	2736	2024-06-30	Insatser och nedlagd tid Sprint x 2 jan-juni 2024
Invite To Do AB	De minimis	Sprint X TVV De minimis	12884	2024-06-30	Aktiviteter och intern tid Sprint x 2 jan-juni 2024
Enava AB	De minimis	Sprint X TVV De minimis	36104	2024-06-30	Insatser och nedlagd tid personal Sprint x 2.0 jan-juni 2024
Agroclimate Sweden AB	De minimis	Sprint X TVV De minimis	2736	2024-06-30	Insatser och nedlagd tid Sprint x 2 jan-juni 2024
Happymaker AB	Excellensmedel	Vinnova Excellensmedel	15000	2024-06-30	Affärscoachning Andreas - juni
Konstraktor i Gävle AB	Excellensmedel	Vinnova Excellensmedel	15000	2024-06-30	Affärscoachning - Andreas juni
PepperVault AB	De minimis	Sprint X TVV De minimis	42943	2024-06-30	Insatser och tid nedlagd av personal jan-juni 2024 Sprint X 2.0
Climate Champ	De minimis	Sprint X TVV De minimis	13330	2024-06-30	Insatser och tid nedlagd av personal jan-juni 2024 Sprint X 2.0
Konstraktor i Gävle AB	De minimis	Sprint X TVV De minimis	14943	2024-06-30	Insatser och nedlagd tid Sprint x 2 jan-juni 2024
Sin Fin Concrete i Scandiavien AB	De minimis	Sprint X TVV De minimis	24411	2024-06-30	Insatser och nedlagd tid Sprint x 2 jan-juni 2024
Fixkod AB	De minimis	Sprint X TVV De minimis	2911	2024-06-30	Insatser och nedlagd tid Sprint x 2 jan-juni 2024
Actsport AB	De minimis	Sprint X TVV De minimis	28477	2024-06-30	Insatser och tid nedlagd av personal jan-juni 2024 Sprint X 2.0
Best 2 Clean Sweden AB	De minimis	Sprint X TVV De minimis	7674	2024-06-30	Nedlagd tid och insatser sprint x 2 jan-juni 2024
Intrest (Linkapp AB)	De minimis	Sprint X TVV De minimis	14497	2024-06-30	insatser och nedlagd tid sprint x 2 jan-juni 2024
Intrest (Linkapp AB)	Excellensmedel	Vinnova Excellensmedel	15000	2024-06-30	Affärscoachning juni Andreas
EduFuture Europe AB	De minimis	Sprint X TVV De minimis	2736	2024-06-30	Insatser och nedlagd tid Sprint x 2 jan-juni 2024
Hydrogen Lift Sweden AB	De minimis	Sprint X TVV De minimis	14497	2024-06-30	Sprint X 2 aktiviteter samt intern tid 202401-202406
CADcog AB	De minimis	Sprint X TVV De minimis	14497	2024-06-30	Insatser och tid nedlagd av personal jan-juni 2024 Sprint X 2.0
Affärskompetens Sverige AB	De minimis	Sprint X TVV De minimis	61030	2024-06-30	Insatser och tid nedlagd av personal jan-juni 2024 Sprint X 2.0
